id,content,category,threat_level,event_type,location,region,country,latitude,longitude,fatalities,timestamp,source,content_length,word_count,has_fatalities,severity_score
KEN000000,"Shelling/artillery/missile attack reported in Bungoma, Western region.",terrorism,medium,Explosions/Remote violence,Bungoma,Western,Kenya,0.8431910002727693,34.657450157946485,0,2021-06-06,Media,70,7,0,0.5
KEN000001,"Protest with intervention reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,1.2478787658410144,40.54951155929122,0,2024-05-04,NGO,66,9,0,0.25
KEN000002,"Non-state actor overtakes territory reported in Isiolo, Eastern region.",armed_conflict,high,Battles,Isiolo,Eastern,Kenya,-0.05379356546717917,37.70058600933309,8,2025-06-14,Government,71,9,1,0.75
KEN000003,"Arrests reported in Kisumu, Nyanza region.",political,low,Strategic developments,Kisumu,Nyanza,Kenya,-0.2975862308266293,34.35937211400638,0,2024-10-30,Government,42,6,0,0.25
KEN000004,"Air/drone strike reported in Kisumu, Nyanza region.",terrorism,medium,Explosions/Remote violence,Kisumu,Nyanza,Kenya,-0.03449967218000853,34.293013292455555,2,2022-03-13,International Organization,51,7,1,0.5
KEN000005,"Air/drone strike reported in Mandera, North Eastern region.",terrorism,medium,Explosions/Remote violence,Mandera,North Eastern,Kenya,4.023351165663848,42.332255307264134,1,2021-08-11,International Organization,59,8,1,0.5
KEN000006,"Sexual violence reported in Bungoma, Western region.",violence,medium,Violence against civilians,Bungoma,Western,Kenya,0.26234240408880516,34.77194195274865,2,2022-03-30,Media,52,7,1,0.5
KEN000007,"Non-state actor overtakes territory reported in Lodwar, Rift Valley region.",armed_conflict,medium,Battles,Lodwar,Rift Valley,Kenya,3.2879412526636074,35.7629223566175,2,2022-12-20,Government,75,10,1,0.5
KEN000008,"Excessive force against protesters reported in Bungoma, Western region.",civil_unrest,low,Protests,Bungoma,Western,Kenya,0.5862328293819941,34.48814101835855,0,2025-06-01,Government,71,9,0,0.25
KEN000009,"Attack reported in Bungoma, Western region.",violence,medium,Violence against civilians,Bungoma,Western,Kenya,0.2665612247347694,35.00345357055798,2,2025-10-24,International Organization,43,6,1,0.5
KEN000010,"Protest with intervention reported in Lodwar, Rift Valley region.",civil_unrest,low,Protests,Lodwar,Rift Valley,Kenya,3.5151912999234933,35.41500347497187,0,2024-07-07,International Organization,65,9,0,0.25
KEN000011,"Shelling/artillery/missile attack reported in Nairobi, Nairobi region.",terrorism,medium,Explosions/Remote violence,Nairobi,Nairobi,Kenya,-1.666534632666317,36.65481517140363,0,2024-12-03,International Organization,70,7,0,0.5
KEN000012,"Excessive force against protesters reported in Nairobi, Nairobi region.",civil_unrest,low,Protests,Nairobi,Nairobi,Kenya,-1.6383130700466002,37.31494048504894,0,2023-01-04,NGO,71,9,0,0.25
KEN000013,"Government regains territory reported in Wajir, North Eastern region.",armed_conflict,medium,Battles,Wajir,North Eastern,Kenya,1.4891552715115006,40.22943554740588,0,2021-08-26,Government,69,9,0,0.5
KEN000014,"Peaceful protest reported in Kabarnet, Rift Valley region.",civil_unrest,low,Protests,Kabarnet,Rift Valley,Kenya,0.31268006497173584,35.429618510399855,0,2024-11-08,Media,58,8,0,0.25
KEN000015,"Suicide bomb reported in Mombasa, Coast region.",terrorism,medium,Explosions/Remote violence,Mombasa,Coast,Kenya,-3.705789894092672,39.84389011703928,0,2022-05-23,Media,47,7,0,0.5
KEN000016,"Non-violent transfer of territory reported in Kiambu, Central region.",political,low,Strategic developments,Kiambu,Central,Kenya,-1.1131065463929024,37.21823634318934,0,2023-11-16,Government,69,9,0,0.25
KEN000017,"Violent demonstration reported in Nairobi, Nairobi region.",civil_unrest,low,Riots,Nairobi,Nairobi,Kenya,-1.6247712859053862,37.21575418852708,0,2021-10-16,Government,58,7,0,0.25
KEN000018,"Peaceful protest reported in Garissa, North Eastern region.",civil_unrest,low,Protests,Garissa,North Eastern,Kenya,-0.24142077865246414,39.377349087496796,0,2024-08-28,NGO,59,8,0,0.25
KEN000019,"Abduction/forced disappearance reported in Isiolo, Eastern region.",violence,medium,Violence against civilians,Isiolo,Eastern,Kenya,0.8286105547524456,37.47529772466676,4,2022-04-18,International Organization,66,7,1,0.5
KEN000020,"Mob violence reported in Nairobi, Nairobi region.",civil_unrest,low,Riots,Nairobi,Nairobi,Kenya,-1.7427962282455662,37.31175051079734,0,2021-07-12,Media,49,7,0,0.25
KEN000021,"Violent demonstration reported in Lamu, Coast region.",civil_unrest,low,Riots,Lamu,Coast,Kenya,-1.7882684162839544,40.47734625600613,0,2021-10-15,Government,53,7,0,0.25
KEN000022,"Mob violence reported in Mombasa, Coast region.",civil_unrest,low,Riots,Mombasa,Coast,Kenya,-3.92849277330083,40.15825385010426,0,2023-09-24,NGO,47,7,0,0.25
KEN000023,"Shelling/artillery/missile attack reported in Kisumu, Nyanza region.",terrorism,medium,Explosions/Remote violence,Kisumu,Nyanza,Kenya,0.2071611554785136,35.071813394679175,1,2023-08-14,International Organization,68,7,1,0.5
KEN000024,"Excessive force against protesters reported in Lodwar, Rift Valley region.",civil_unrest,low,Protests,Lodwar,Rift Valley,Kenya,2.6467167718737046,35.67586489550756,0,2026-02-02,Government,74,10,0,0.25
KEN000025,"Government regains territory reported in Wajir, North Eastern region.",armed_conflict,medium,Battles,Wajir,North Eastern,Kenya,1.7841824271966555,39.88395124179604,2,2021-10-26,NGO,69,9,1,0.5
KEN000026,"Armed clash reported in Mombasa, Coast region.",armed_conflict,medium,Battles,Mombasa,Coast,Kenya,-4.027199651698805,39.49115647294124,1,2022-11-23,NGO,46,7,1,0.5
KEN000027,"Peaceful protest reported in Nairobi, Nairobi region.",civil_unrest,low,Protests,Nairobi,Nairobi,Kenya,-1.6131056799291543,36.473637042671086,0,2023-04-17,Media,53,7,0,0.25
KEN000028,"Peaceful protest reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,1.9771393165618187,39.60501612769165,0,2021-07-08,NGO,57,8,0,0.25
KEN000029,"Abduction/forced disappearance reported in Garissa, North Eastern region.",violence,medium,Violence against civilians,Garissa,North Eastern,Kenya,-0.7782697301106615,39.15726110183175,1,2022-05-24,Government,73,8,1,0.5
KEN000030,"Headquarters or base established reported in Mombasa, Coast region.",political,low,Strategic developments,Mombasa,Coast,Kenya,-4.282606376658286,39.183504540290386,0,2025-09-14,Media,67,9,0,0.25
KEN000031,"Protest with intervention reported in Lamu, Coast region.",civil_unrest,low,Protests,Lamu,Coast,Kenya,-2.125311781557647,40.860252890491516,0,2022-12-27,Media,57,8,0,0.25
KEN000032,"Abduction/forced disappearance reported in Mombasa, Coast region.",violence,medium,Violence against civilians,Mombasa,Coast,Kenya,-4.504536867689766,39.78645388433789,0,2023-02-01,NGO,65,7,0,0.5
KEN000033,"Mob violence reported in Mandera, North Eastern region.",civil_unrest,low,Riots,Mandera,North Eastern,Kenya,3.7849366044531974,42.303648151855704,0,2024-12-05,International Organization,55,8,0,0.25
KEN000034,"Headquarters or base established reported in Mombasa, Coast region.",political,low,Strategic developments,Mombasa,Coast,Kenya,-4.293483550783895,39.748744012343906,0,2022-11-29,Media,67,9,0,0.25
KEN000035,"Mob violence reported in Kabarnet, Rift Valley region.",civil_unrest,medium,Riots,Kabarnet,Rift Valley,Kenya,0.31194960103061176,36.1386232284962,3,2021-07-31,Media,54,8,1,0.5
KEN000036,"Attack reported in Garissa, North Eastern region.",violence,medium,Violence against civilians,Garissa,North Eastern,Kenya,-0.2810815439229616,39.89247452943768,3,2024-04-24,NGO,49,7,1,0.5
KEN000037,"Suicide bomb reported in Marsabit, Eastern region.",terrorism,medium,Explosions/Remote violence,Marsabit,Eastern,Kenya,2.1794150125520786,37.6069670164276,2,2022-09-15,Media,50,7,1,0.5
KEN000038,"Suicide bomb reported in Kisumu, Nyanza region.",terrorism,high,Explosions/Remote violence,Kisumu,Nyanza,Kenya,-0.4555951783079745,34.77502616869239,8,2025-01-20,International Organization,47,7,1,0.75
KEN000039,"Excessive force against protesters reported in Marsabit, Eastern region.",civil_unrest,low,Protests,Marsabit,Eastern,Kenya,2.2064875901222543,38.19498436429666,0,2023-01-19,International Organization,72,9,0,0.25
KEN000040,"Excessive force against protesters reported in Nairobi, Nairobi region.",civil_unrest,low,Protests,Nairobi,Nairobi,Kenya,-1.1053605729030909,36.55470647129247,0,2022-06-24,Government,71,9,0,0.25
KEN000041,"Looting/property destruction reported in Mandera, North Eastern region.",political,low,Strategic developments,Mandera,North Eastern,Kenya,3.4800007832981725,42.29164333022359,0,2023-03-10,NGO,71,8,0,0.25
KEN000042,"Non-violent transfer of territory reported in Wajir, North Eastern region.",political,low,Strategic developments,Wajir,North Eastern,Kenya,1.63130183137922,40.29440070584302,0,2023-10-03,Government,74,10,0,0.25
KEN000043,"Attack reported in Kabarnet, Rift Valley region.",violence,medium,Violence against civilians,Kabarnet,Rift Valley,Kenya,0.2518498628542627,35.69634084682883,1,2023-09-21,Government,48,7,1,0.5
KEN000044,"Excessive force against protesters reported in Kabarnet, Rift Valley region.",civil_unrest,low,Protests,Kabarnet,Rift Valley,Kenya,0.4101430362906189,36.17582848335401,0,2024-07-24,International Organization,76,10,0,0.25
KEN000045,"Attack reported in Kisumu, Nyanza region.",violence,medium,Violence against civilians,Kisumu,Nyanza,Kenya,-0.2213091433689785,35.2316143978146,1,2023-04-10,Media,41,6,1,0.5
KEN000046,"Peaceful protest reported in Mandera, North Eastern region.",civil_unrest,low,Protests,Mandera,North Eastern,Kenya,4.436317673286131,42.363636837073905,0,2025-02-04,NGO,59,8,0,0.25
KEN000047,"Mob violence reported in Nairobi, Nairobi region.",civil_unrest,low,Riots,Nairobi,Nairobi,Kenya,-1.1146993155941431,36.93532824045789,0,2024-11-07,NGO,49,7,0,0.25
KEN000048,"Protest with intervention reported in Kiambu, Central region.",civil_unrest,low,Protests,Kiambu,Central,Kenya,-1.1104620284646138,37.21225360265834,0,2022-03-12,NGO,61,8,0,0.25
KEN000049,"Mob violence reported in Wajir, North Eastern region.",civil_unrest,low,Riots,Wajir,North Eastern,Kenya,1.8551878495418852,40.19394432162228,0,2024-10-25,NGO,53,8,0,0.25
KEN000050,"Peaceful protest reported in Marsabit, Eastern region.",civil_unrest,low,Protests,Marsabit,Eastern,Kenya,1.975573480929038,38.416487625161494,0,2024-10-20,International Organization,54,7,0,0.25
KEN000051,"Armed clash reported in Lodwar, Rift Valley region.",armed_conflict,medium,Battles,Lodwar,Rift Valley,Kenya,2.7471458389577723,35.24890269351229,2,2024-12-03,NGO,51,8,1,0.5
KEN000052,"Looting/property destruction reported in Kisumu, Nyanza region.",political,low,Strategic developments,Kisumu,Nyanza,Kenya,-0.3783509340936794,35.083490636844445,0,2025-03-05,Government,63,7,0,0.25
KEN000053,"Air/drone strike reported in Kisumu, Nyanza region.",terrorism,medium,Explosions/Remote violence,Kisumu,Nyanza,Kenya,0.0881948286293653,34.3010121398411,1,2021-10-11,Media,51,7,1,0.5
KEN000054,"Mob violence reported in Kapenguria, Rift Valley region.",civil_unrest,low,Riots,Kapenguria,Rift Valley,Kenya,1.2234229851910212,35.230154771530295,0,2021-04-23,NGO,56,8,0,0.25
KEN000055,"Excessive force against protesters reported in Kiambu, Central region.",civil_unrest,low,Protests,Kiambu,Central,Kenya,-1.564227988660224,36.783012366823456,0,2023-02-13,Media,70,9,0,0.25
KEN000056,"Government regains territory reported in Kiambu, Central region.",armed_conflict,medium,Battles,Kiambu,Central,Kenya,-1.4381835884501988,36.67852686427826,2,2021-03-01,NGO,64,8,1,0.5
KEN000057,"Mob violence reported in Kabarnet, Rift Valley region.",civil_unrest,low,Riots,Kabarnet,Rift Valley,Kenya,0.3293468338719181,36.14274739714501,0,2024-10-10,Media,54,8,0,0.25
KEN000058,"Abduction/forced disappearance reported in Lodwar, Rift Valley region.",violence,medium,Violence against civilians,Lodwar,Rift Valley,Kenya,3.106909800808738,35.94781751783615,0,2025-02-13,International Organization,70,8,0,0.5
KEN000059,"Non-violent transfer of territory reported in Mombasa, Coast region.",political,low,Strategic developments,Mombasa,Coast,Kenya,-3.96750158219434,40.08559561308553,0,2022-11-12,Government,68,9,0,0.25
KEN000060,"Peaceful protest reported in Wajir, North Eastern region.",civil_unrest,low,Protests,Wajir,North Eastern,Kenya,2.2150940665042342,40.26825247883674,0,2023-01-29,International Organization,57,8,0,0.25
KEN000061,"Violent demonstration reported in Garissa, North Eastern region.",civil_unrest,low,Riots,Garissa,North Eastern,Kenya,-0.6329578078404857,39.733983097557896,0,2023-07-26,Media,64,8,0,0.25
KEN000062,"Non-state actor overtakes territory reported in Mandera, North Eastern region.",armed_conflict,medium,Battles,Mandera,North Eastern,Kenya,3.4393108994143295,41.483696064141675,1,2023-08-04,International Organization,78,10,1,0.5
KEN000063,"Non-state actor overtakes territory reported in Kabarnet, Rift Valley region.",armed_conflict,medium,Battles,Kabarnet,Rift Valley,Kenya,0.19690181005323726,35.622328584963796,2,2022-07-02,International Organization,77,10,1,0.5
KEN000064,"Peaceful protest reported in Mandera, North Eastern region.",civil_unrest,low,Protests,Mandera,North Eastern,Kenya,3.6722917460649995,42.000758563720176,0,2022-09-01,International Organization,59,8,0,0.25
KEN000065,"Violent demonstration reported in Lodwar, Rift Valley region.",civil_unrest,low,Riots,Lodwar,Rift Valley,Kenya,3.0578446753883393,35.67448627090613,0,2021-06-29,NGO,61,8,0,0.25
KEN000066,"Suicide bomb reported in Lodwar, Rift Valley region.",terrorism,medium,Explosions/Remote violence,Lodwar,Rift Valley,Kenya,3.3496491368093015,35.79071760740334,3,2025-04-08,Media,52,8,1,0.5
KEN000067,"Excessive force against protesters reported in Lodwar, Rift Valley region.",civil_unrest,low,Protests,Lodwar,Rift Valley,Kenya,2.7622279855484697,35.30154459316947,0,2025-04-30,NGO,74,10,0,0.25
KEN000068,"Non-state actor overtakes territory reported in Marsabit, Eastern region.",armed_conflict,medium,Battles,Marsabit,Eastern,Kenya,2.3683606371128367,37.9762574819956,2,2021-12-25,Government,73,9,1,0.5
KEN000069,"Mob violence reported in Bungoma, Western region.",civil_unrest,low,Riots,Bungoma,Western,Kenya,1.0225747945640278,34.40312425717855,0,2024-04-07,Government,49,7,0,0.25
KEN000070,"Sexual violence reported in Kiambu, Central region.",violence,high,Violence against civilians,Kiambu,Central,Kenya,-1.5691873357748003,37.254350522260744,5,2024-04-06,Government,51,7,1,0.75
