data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp
KEN000000,KEN,KEN000000,0,2021-06-06,2021,1,Explosions/Remote violence,Shelling/artillery/missile attack,Ethnic Militia (Kenya),,5,Ethnic Militia (Kenya),,2,31,Eastern Africa,Kenya,Western,Bungoma,,Bungoma,0.8431910002727693,34.657450157946485,1,Media,Subnational,"Shelling/artillery/missile attack reported in Bungoma, Western region.",0,2021-06-06T15:51:23.486983
KEN000001,KEN,KEN000001,1,2024-05-04,2024,1,Protests,Protest with intervention,Rioters (Kenya),,5,Military Forces of Kenya,,2,68,Eastern Africa,Kenya,North Eastern,Wajir,,Wajir,1.2478787658410144,40.54951155929122,1,NGO,Subnational,"Protest with intervention reported in Wajir, North Eastern region.",0,2024-05-04T15:51:23.486983
KEN000002,KEN,KEN000002,2,2025-06-14,2025,1,Battles,Non-state actor overtakes territory,Pastoralist Militia (Kenya),,3,Unidentified Armed Group (Kenya),,4,48,Eastern Africa,Kenya,Eastern,Isiolo,,Isiolo,-0.05379356546717917,37.70058600933309,1,Government,National,"Non-state actor overtakes territory reported in Isiolo, Eastern region.",8,2025-06-14T15:51:23.486983
KEN000003,KEN,KEN000003,3,2024-10-30,2024,1,Strategic developments,Arrests,Unidentified Armed Group (Kenya),,4,Al Shabaab,,5,45,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,-0.2975862308266293,34.35937211400638,1,Government,Subnational,"Arrests reported in Kisumu, Nyanza region.",0,2024-10-30T15:51:23.486983
KEN000004,KEN,KEN000004,4,2022-03-13,2022,1,Explosions/Remote violence,Air/drone strike,Police Forces of Kenya,,2,Ethnic Militia (Kenya),,5,71,Eastern Africa,Kenya,Nyanza,Kisumu,,Kisumu,-0.03449967218000853,34.293013292455555,1,International Organization,National,"Air/drone strike reported in Kisumu, Nyanza region.",2,2022-03-13T15:51:23.486983
KEN000005,KEN,KEN000005,5,2021-08-11,2021,1,Explosions/Remote violence,Air/drone strike,Pastoralist Militia (Kenya),,5,Military Forces of Kenya,,0,18,Eastern Africa,Kenya,North Eastern,Mandera,,Mandera,4.023351165663848,42.332255307264134,1,International Organization,National,"Air/drone strike reported in Mandera, North Eastern region.",1,2021-08-11T15:51:23.486983
KEN000006,KEN,KEN000006,6,2022-03-30,2022,1,Violence against civilians,Sexual violence,Protesters (Kenya),,2,Pastoralist Militia (Kenya),,3,16,Eastern Africa,Kenya,Western,Bungoma,,Bungoma,0.26234240408880516,34.77194195274865,1,Media,Subnational,"Sexual violence reported in Bungoma, Western region.",2,2022-03-30T15:51:23.486983
KEN000007,KEN,KEN000007,7,2022-12-20,2022,1,Battles,Non-state actor overtakes territory,Al Shabaab,,1,Al Shabaab,,0,14,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,3.2879412526636074,35.7629223566175,1,Government,International,"Non-state actor overtakes territory reported in Lodwar, Rift Valley region.",2,2022-12-20T15:51:23.486983
KEN000008,KEN,KEN000008,8,2025-06-01,2025,1,Protests,Excessive force against protesters,Al Shabaab,,7,Military Forces of Kenya,,3,13,Eastern Africa,Kenya,Western,Bungoma,,Bungoma,0.5862328293819941,34.48814101835855,1,Government,National,"Excessive force against protesters reported in Bungoma, Western region.",0,2025-06-01T15:51:23.486983
KEN000009,KEN,KEN000009,9,2025-10-24,2025,1,Violence against civilians,Attack,Police Forces of Kenya,,2,Pastoralist Militia (Kenya),,4,15,Eastern Africa,Kenya,Western,Bungoma,,Bungoma,0.2665612247347694,35.00345357055798,1,International Organization,Subnational,"Attack reported in Bungoma, Western region.",2,2025-10-24T15:51:23.486983
KEN000010,KEN,KEN000010,10,2024-07-07,2024,1,Protests,Protest with intervention,Pastoralist Militia (Kenya),,4,Al Shabaab,,6,79,Eastern Africa,Kenya,Rift Valley,Turkana,,Lodwar,3.5151912999234933,35.41500347497187,1,International Organization,International,"Protest with intervention reported in Lodwar, Rift Valley region.",0,2024-07-07T15:51:23.486983
KEN000011,KEN,KEN000011,11,2024-12-03,2024,1,Explosions/Remote violence,Shelling/artillery/missile attack,Ethnic Militia (Kenya),,1,Military Forces of Kenya,,1,61,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.666534632666317,36.65481517140363,1,International Organization,Subnational,"Shelling/artillery/missile attack reported in Nairobi, Nairobi region.",0,2024-12-03T15:51:23.486983
KEN000012,KEN,KEN000012,12,2023-01-04,2023,1,Protests,Excessive force against protesters,Police Forces of Kenya,,4,,,4,10,Eastern Africa,Kenya,Nairobi,Nairobi,,Nairobi,-1.6383130700466002,37.31494048504894,1,NGO,Subnational,"Excessive force against protesters reported in Nairobi, Nairobi region.",0,2023-01-04T15:51:23.486983
