eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1_txt,gname,weaptype1,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,ishostkid,nhostkid,ransom,addnotes,scite1,dbsource
200000000000,2010,4,15,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Garissa,-0.4780506648204797,39.54032516668341,1,0,"Garissa, Kenya","Hostage Taking (Kidnapping) attack in Garissa, North Eastern province",1,1,1,0,0,0,0,7,Hostage Taking (Kidnapping),3,Religious Figures/Institutions,Private Citizens & Property in Garissa,Kenya,Unknown,8,Melee,1,0,0,0,0,0,1,2,1,4,0,,News Source,START
200000000001,2004,12,26,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Wajir,1.4750993979281692,40.34155331130487,1,0,"Wajir, Kenya","Armed Assault attack in Wajir, North Eastern province",1,1,1,0,0,1,0,1,Armed Assault,15,Police,Utilities in Wajir,Kenya,Mungiki,4,Firearms,0,0,0,2,0,0,0,3,0,0,0,,News Source,START
200000000002,2010,5,9,0,110,Kenya,11,Sub-Saharan Africa,Nyanza,Kisumu,-0.3926202486678715,34.600236295373286,1,0,"Kisumu, Kenya","Armed Assault attack in Kisumu, Nyanza province",1,1,1,0,0,1,0,1,Armed Assault,7,Utilities,Journalists & Media in Kisumu,Kenya,Mungiki,3,Firearms,2,0,0,0,0,0,0,4,0,0,0,,News Source,START
200000000003,2007,2,6,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Wajir,2.0107993649385136,40.29419641025659,1,0,"Wajir, Kenya","Bombing/Explosion attack in Wajir, North Eastern province",1,1,1,0,0,1,1,3,Bombing/Explosion,8,Educational Institution,Utilities in Wajir,Kenya,Al-Shabaab,8,Unknown,0,0,0,7,0,0,0,2,0,0,0,,News Source,START
200000000004,2018,5,24,0,110,Kenya,11,Sub-Saharan Africa,Coast,Mombasa,-4.244339836562198,39.37758184404471,1,0,"Mombasa, Kenya","Unknown attack in Mombasa, Coast province",1,1,1,0,0,1,0,9,Unknown,1,Utilities,Journalists & Media in Mombasa,Kenya,Sabaot Land Defence Force,11,Incendiary,0,0,0,0,0,0,1,3,0,0,0,,News Source,START
200000000005,2006,1,27,0,110,Kenya,11,Sub-Saharan Africa,Coast,Lamu,-2.5113539301057535,40.824490951318964,1,0,"Lamu, Kenya","Unknown attack in Lamu, Coast province",1,1,1,0,0,1,0,9,Unknown,5,Police,Utilities in Lamu,Kenya,Sabaot Land Defence Force,6,Incendiary,7,0,0,2,0,0,1,3,0,0,0,,News Source,START
200000000006,2008,3,1,0,110,Kenya,11,Sub-Saharan Africa,Coast,Lamu,-2.553348523953543,40.66673485619599,1,0,"Lamu, Kenya","Bombing/Explosion attack in Lamu, Coast province",1,1,1,0,0,0,0,3,Bombing/Explosion,20,Military,Private Citizens & Property in Lamu,Kenya,Mungiki,7,Unknown,2,0,0,2,0,0,1,1,0,0,0,,News Source,START
200000000007,2007,7,27,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Garissa,-0.27139675386053136,39.452042035331615,1,0,"Garissa, Kenya","Armed Assault attack in Garissa, North Eastern province",1,1,1,0,0,1,0,1,Armed Assault,11,Transportation,Educational Institution in Garissa,Kenya,Sabaot Land Defence Force,9,Firearms,4,0,0,10,0,0,0,3,0,0,0,,News Source,START
200000000008,2023,9,3,0,110,Kenya,11,Sub-Saharan Africa,Nyanza,Kisumu,-0.25572468665133546,34.56267462530376,1,0,"Kisumu, Kenya","Armed Assault attack in Kisumu, Nyanza province",1,1,1,0,0,1,0,1,Armed Assault,9,Military,Business in Kisumu,Kenya,Unknown,1,Explosives,1,0,0,1,0,0,1,2,0,0,0,,News Source,START
200000000009,2010,2,3,0,110,Kenya,11,Sub-Saharan Africa,Nairobi,Nairobi,-1.566569560259671,36.72424274881601,1,0,"Nairobi, Kenya","Armed Assault attack in Nairobi, Nairobi province",1,1,1,0,0,1,0,1,Armed Assault,2,Private Citizens & Property,Utilities in Nairobi,Kenya,Unknown,6,Melee,0,0,0,2,0,0,0,4,0,0,0,,News Source,START
200000000010,2020,6,24,0,110,Kenya,11,Sub-Saharan Africa,Coast,Lamu,-2.0674185026464573,40.79446803898304,1,0,"Lamu, Kenya","Facility/Infrastructure Attack attack in Lamu, Coast province",1,1,1,0,0,0,0,4,Facility/Infrastructure Attack,3,Military,Utilities in Lamu,Kenya,Mungiki,4,Incendiary,2,0,0,0,0,0,1,3,0,0,0,,News Source,START
200000000011,2022,4,7,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Mandera,4.077729671544463,41.69244297244263,1,0,"Mandera, Kenya","Unknown attack in Mandera, North Eastern province",1,1,1,0,0,1,0,9,Unknown,10,Police,Educational Institution in Mandera,Kenya,Sabaot Land Defence Force,10,Firearms,2,0,0,5,0,0,1,1,0,0,0,,News Source,START
200000000012,2005,1,16,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Wajir,1.6566257447675967,40.19287340732214,1,0,"Wajir, Kenya","Unarmed Assault attack in Wajir, North Eastern province",1,1,1,0,0,1,0,8,Unarmed Assault,22,Journalists & Media,Business in Wajir,Kenya,Sabaot Land Defence Force,4,Incendiary,3,0,0,0,0,0,1,4,0,0,0,,News Source,START
200000000013,2009,8,20,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Wajir,1.5435848308504994,40.08654027361995,1,0,"Wajir, Kenya","Armed Assault attack in Wajir, North Eastern province",1,1,1,0,0,1,0,1,Armed Assault,16,NGO,Military in Wajir,Kenya,Al-Shabaab,4,Firearms,0,0,0,0,0,0,0,4,0,0,0,,News Source,START
200000000014,2023,8,8,0,110,Kenya,11,Sub-Saharan Africa,Nyanza,Kisumu,-0.25192290883664953,34.81562250853632,1,0,"Kisumu, Kenya","Hostage Taking (Barricade Incident) attack in Kisumu, Nyanza province",1,1,1,0,0,1,0,6,Hostage Taking (Barricade Incident),19,Religious Figures/Institutions,Journalists & Media in Kisumu,Kenya,Mungiki,11,Explosives,2,0,0,5,0,0,0,1,1,0,0,,News Source,START
200000000015,2008,12,16,0,110,Kenya,11,Sub-Saharan Africa,North Eastern,Garissa,-0.5858637949219448,39.87019641335975,1,0,"Garissa, Kenya","Bombing/Explosion attack in Garissa, North Eastern province",1,1,1,0,0,1,1,3,Bombing/Explosion,17,Private Citizens & Property,Police in Garissa,Kenya,Sabaot Land Defence Force,1,Melee,0,0,0,3,0,0,0,1,0,0,0,,News Source,START
200000000016,2004,3,18,0,110,Kenya,11,Sub-Saharan Africa,Nairobi,Nairobi,-1.4610487694307839,36.91988611009443,1,0,"Nairobi, Kenya","Bombing/Explosion attack in Nairobi, Nairobi province",1,1,1,0,0,1,0,3,Bombing/Explosion,10,Government (General),Transportation in Nairobi,Kenya,Al-Shabaab,8,Firearms,7,0,0,0,0,0,0,2,0,0,0,,News Source,START
200000000017,2019,7,10,0,110,Kenya,11,Sub-Saharan Africa,Nyanza,Kisumu,-0.3990890823356079,34.83843664896918,1,0,"Kisumu, Kenya","Bombing/Explosion attack in Kisumu, Nyanza province",1,1,1,0,0,0,0,3,Bombing/Explosion,14,Utilities,Police in Kisumu,Kenya,Mungiki,12,Explosives,0,0,0,0,0,0,0,3,0,0,0,,News Source,START
200000000018,2022,9,26,0,110,Kenya,11,Sub-Saharan Africa,Nyanza,Kisumu,-0.3788991593423461,34.64365930880393,1,0,"Kisumu, Kenya","Unknown attack in Kisumu, Nyanza province",1,1,1,0,0,1,0,9,Unknown,5,Business,Journalists & Media in Kisumu,Kenya,Al-Shabaab,12,Melee,5,0,0,0,0,0,1,3,0,0,0,,News Source,START
200000000019,2007,6,13,0,110,Kenya,11,Sub-Saharan Africa,Rift Valley,Eldoret,0.5240802089807172,35.16357388376474,1,0,"Eldoret, Kenya","Bombing/Explosion attack in Eldoret, Rift Valley province",1,1,1,0,0,1,0,3,Bombing/Explosion,5,Transportation,Private Citizens & Property in Eldoret,Kenya,Unknown,7,Firearms,3,0,0,18,0,0,1,1,0,0,0,,News Source,START
200000000020,2004,2,22,0,110,Kenya,11,Sub-Saharan Africa,Rift Valley,Eldoret,0.4757037392067346,35.40782358993709,1,0,"Eldoret, Kenya","Armed Assault attack in Eldoret, Rift Valley province",1,1,1,0,0,0,0,1,Armed Assault,16,Police,Private Citizens & Property in Eldoret,Kenya,Unknown,9,Unknown,3,0,0,5,0,0,0,1,0,0,0,,News Source,START
